date,1,2,3,4,5,6,7,8,9,10
2016-02-08,332,0,0,0,0,0,0,0,0,0
2016-02-09,359,0,0,0,0,0,0,0,0,0
2016-02-10,161,0,0,0,0,0,0,0,0,0
2016-02-11,292,0,0,0,0,0,0,0,0,0
2016-02-12,371,0,0,0,0,0,0,0,0,0
2016-02-13,286,0,0,0,0,0,0,0,0,0
2016-02-14,238,0,0,0,0,0,0,0,0,0
2016-02-15,250,0,0,0,0,0,0,0,0,0
2016-02-16,395,0,0,0,0,0,0,0,0,0
2016-02-17,282,0,0,0,0,0,0,0,0,0
2016-02-18,270,0,0,0,0,0,0,0,0,0
2016-02-19,272,0,0,0,0,0,0,0,0,0
2016-02-20,298,0,0,0,0,0,0,0,0,0
2016-02-21,311,0,0,0,0,0,0,0,0,0
2016-02-22,236,0,0,0,0,0,0,0,0,0
2016-02-23,291,0,0,0,0,0,0,0,0,0
2016-02-24,349,0,0,0,0,0,0,0,0,0
2016-02-25,283,0,0,0,0,0,0,0,0,0
2016-02-26,261,0,0,0,0,0,0,0,0,0
2016-02-27,261,0,0,0,0,0,0,0,0,0
2016-02-28,319,0,0,0,0,0,0,0,0,0
2016-02-29,283,0,0,0,0,0,0,0,0,0
2016-03-01,296,0,0,0,0,0,0,0,0,0
2016-03-02,261,0,0,0,0,0,0,0,0,0
2016-03-03,322,0,0,0,0,0,0,0,0,0
2016-03-04,260,0,0,0,0,0,0,0,0,0
2016-03-05,298,0,0,0,0,0,0,0,0,0
2016-03-06,286,0,0,0,0,0,0,0,0,0
2016-03-07,288,0,0,0,0,0,0,0,0,0
2016-03-08,289,0,0,0,0,0,0,0,0,0
2016-03-09,272,0,0,0,0,0,0,0,0,0
2016-03-10,343,0,0,0,0,0,0,0,0,0
2016-03-11,257,0,0,0,0,0,0,0,0,0
2016-03-12,281,0,0,0,0,0,0,0,0,0
2016-03-13,272,0,0,0,0,0,0,0,0,0
2016-03-14,301,0,0,0,0,0,0,0,0,0
2016-03-15,322,0,0,0,0,0,0,0,0,0
2016-03-16,243,0,0,0,0,0,0,0,0,0
2016-03-17,302,0,0,0,0,0,0,0,0,0
2016-03-18,324,0,0,0,0,0,0,0,0,0
2016-03-19,271,0,0,0,0,0,0,0,0,0
2016-03-20,283,0,0,0,0,0,0,0,0,0
2016-03-21,267,0,0,0,0,0,0,0,0,0
2016-03-22,297,0,0,0,0,0,0,0,0,0
2016-03-23,308,0,0,0,0,0,0,0,0,0
2016-03-24,256,0,0,0,0,0,0,0,0,0
2016-03-25,300,0,0,0,0,0,0,0,0,0
2016-03-26,302,0,0,0,0,0,0,0,0,0
2016-03-27,307,0,0,0,0,0,0,0,0,0
2016-03-28,270,0,0,0,0,0,0,0,0,0
2016-03-29,276,0,0,0,0,0,0,0,0,0
2016-03-30,317,0,0,0,0,0,0,0,0,0
2016-03-31,276,0,0,0,0,0,0,0,0,0
2016-04-01,300,0,0,0,0,0,0,0,0,0
2016-04-02,296,0,0,0,0,0,0,0,0,0
2016-04-03,287,0,0,0,0,0,0,0,0,0
2016-04-04,284,0,0,0,0,0,0,0,0,0
2016-04-05,279,0,0,0,0,0,0,0,0,0
2016-04-06,263,0,0,0,0,0,0,0,0,0
2016-04-07,342,0,0,0,0,0,0,0,0,0
2016-04-08,273,0,0,0,0,0,0,0,0,0
2016-04-09,262,0,0,0,0,0,0,0,0,0
2016-04-10,290,0,0,0,0,0,0,0,0,0
2016-04-11,283,0,0,0,0,0,0,0,0,0
2016-04-12,305,0,0,0,0,0,0,0,0,0
2016-04-13,280,0,0,0,0,0,0,0,0,0
2016-04-14,315,0,0,0,0,0,0,0,0,0
2016-04-15,272,0,0,0,0,0,0,0,0,0
2016-04-16,285,0,0,0,0,0,0,0,0,0
2016-04-17,276,0,0,0,0,0,0,0,0,0
2016-04-18,273,0,0,0,0,0,0,0,0,0
2016-04-19,329,0,0,0,0,0,0,0,0,0
2016-04-20,284,0,0,0,0,0,0,0,0,0
2016-04-21,273,0,0,0,0,0,0,0,0,0
2016-04-22,314,0,0,0,0,0,0,0,0,0
2016-04-23,310,0,0,0,0,0,0,0,0,0
2016-04-24,289,0,0,0,0,0,0,0,0,0
2016-04-25,275,0,0,0,0,0,0,0,0,0
2016-04-26,302,0,0,0,0,0,0,0,0,0
2016-04-27,296,0,0,0,0,0,0,0,0,0
2016-04-28,269,0,0,0,0,0,0,0,0,0
2016-04-29,315,0,0,0,0,0,0,0,0,0
2016-04-30,284,0,0,0,0,0,0,0,0,0
2016-05-01,287,0,0,0,0,0,0,0,0,0
2016-05-02,294,0,0,0,0,0,0,0,0,0
2016-05-03,268,0,0,0,0,0,0,0,0,0
2016-05-04,308,0,0,0,0,0,0,0,0,0
2016-05-05,280,0,0,0,0,0,0,0,0,0
2016-05-06,264,0,0,0,0,0,0,0,0,0
2016-05-07,337,0,0,0,0,0,0,0,0,0
2016-05-08,285,0,0,0,0,0,0,0,0,0
2016-05-09,269,0,0,0,0,0,0,0,0,0
2016-05-10,265,0,0,0,0,0,0,0,0,0
2016-05-11,274,0,0,0,0,0,0,0,0,0
2016-05-12,339,0,0,0,0,0,0,0,0,0
2016-05-13,260,0,0,0,0,0,0,0,0,0
2016-05-14,311,0,0,0,0,0,0,0,0,0
2016-05-15,302,0,0,0,0,0,0,0,0,0
2016-05-16,263,0,0,0,0,0,0,0,0,0
2016-05-17,297,0,0,0,0,0,0,0,0,0
2016-05-18,297,0,0,0,0,0,0,0,0,0
2016-05-19,289,0,0,0,0,0,0,0,0,0
2016-05-20,270,0,0,0,0,0,0,0,0,0
2016-05-21,302,0,0,0,0,0,0,0,0,0
2016-05-22,300,0,0,0,0,0,0,0,0,0
2016-05-23,274,0,0,0,0,0,0,0,0,0
2016-05-24,292,0,0,0,0,0,0,0,0,0
2016-05-25,274,0,0,0,0,0,0,0,0,0
2016-05-26,293,0,0,0,0,0,0,0,0,0
2016-05-27,310,0,0,0,0,0,0,0,0,0
2016-05-28,299,0,0,0,0,0,0,0,0,0
2016-05-29,253,0,0,0,0,0,0,0,0,0
2016-05-30,277,0,0,0,0,0,0,0,0,0
2016-05-31,342,0,0,0,0,0,0,0,0,0
2016-06-01,265,0,0,0,0,0,0,0,0,0
2016-06-02,258,0,0,0,0,0,0,0,0,0
2016-06-03,345,0,0,0,0,0,0,0,0,0
2016-06-04,293,0,0,0,0,0,0,0,0,0
2016-06-05,236,0,0,0,0,0,0,0,0,0
2016-06-06,300,0,0,0,0,0,0,0,0,0
2016-06-07,300,0,0,0,0,0,0,0,0,0
2016-06-08,281,0,0,0,0,0,0,0,0,0
2016-06-09,263,0,0,0,0,0,0,0,0,0
2016-06-10,312,0,0,0,0,0,0,0,0,0
2016-06-11,289,0,0,0,0,0,0,0,0,0
2016-06-12,294,0,0,0,0,0,0,0,0,0
2016-06-13,281,0,0,0,0,0,0,0,0,0
2016-06-14,289,0,0,0,0,0,0,0,0,0
2016-06-15,234,0,0,0,0,0,0,0,0,0
2016-06-16,265,0,0,0,0,0,0,0,0,0
2016-06-17,356,0,0,0,0,0,0,0,0,0
2016-06-18,293,0,0,0,0,0,0,0,0,0
2016-06-19,280,0,0,0,0,0,0,0,0,0
2016-06-20,272,0,0,0,0,0,0,0,0,0
2016-06-21,296,0,0,0,0,0,0,0,0,0
2016-06-22,277,0,0,0,0,0,0,0,0,0
2016-06-23,313,0,0,0,0,0,0,0,0,0
2016-06-24,255,0,0,0,0,0,0,0,0,0
2016-06-25,291,0,0,0,0,0,0,0,0,0
2016-06-26,308,0,0,0,0,0,0,0,0,0
2016-06-27,284,0,0,0,0,0,0,0,0,0
2016-06-28,284,0,0,0,0,0,0,0,0,0
2016-06-29,316,0,0,0,0,0,0,0,0,0
2016-06-30,254,0,0,0,0,0,0,0,0,0
2016-07-01,280,0,0,0,0,0,0,0,0,0
2016-07-02,319,0,0,0,0,0,0,0,0,0
2016-07-03,283,0,0,0,0,0,0,0,0,0
2016-07-04,294,0,0,0,0,0,0,0,0,0
2016-07-05,284,0,0,0,0,0,0,0,0,0
2016-07-06,286,0,0,0,0,0,0,0,0,0
2016-07-07,300,0,0,0,0,0,0,0,0,0
2016-07-08,264,0,0,0,0,0,0,0,0,0
2016-07-09,290,0,0,0,0,0,0,0,0,0
2016-07-10,313,0,0,0,0,0,0,0,0,0
2016-07-11,277,0,0,0,0,0,0,0,0,0
2016-07-12,278,0,0,0,0,0,0,0,0,0
2016-07-13,233,0,0,0,0,0,0,0,0,0
2016-07-14,329,0,0,0,0,0,0,0,0,0
2016-07-15,287,0,0,0,0,0,0,0,0,0
2016-07-16,299,0,0,0,0,0,0,0,0,0
2016-07-17,287,0,0,0,0,0,0,0,0,0
2016-07-18,275,0,0,0,0,0,0,0,0,0
2016-07-19,289,0,0,0,0,0,0,0,0,0
2016-07-20,300,0,0,0,0,0,0,0,0,0
2016-07-21,272,0,0,0,0,0,0,0,0,0
2016-07-22,284,0,0,0,0,0,0,0,0,0
2016-07-23,310,0,0,0,0,0,0,0,0,0
2016-07-24,290,0,0,0,0,0,0,0,0,0
2016-07-25,243,0,0,0,0,0,0,0,0,0
2016-07-26,260,0,0,0,0,0,0,0,0,0
2016-07-27,305,0,0,0,0,0,0,0,0,0
2016-07-28,312,0,0,0,0,0,0,0,0,0
2016-07-29,277,0,0,0,0,0,0,0,0,0
2016-07-30,318,0,0,0,0,0,0,0,0,0
2016-07-31,273,0,0,0,0,0,0,0,0,0
2016-08-01,276,0,0,0,0,0,0,0,0,0
2016-08-02,291,0,0,0,0,0,0,0,0,0
2016-08-03,289,0,0,0,0,0,0,0,0,0
2016-08-04,285,0,0,0,0,0,0,0,0,0
2016-08-05,282,0,0,0,0,0,0,0,0,0
2016-08-06,300,0,0,0,0,0,0,0,0,0
2016-08-07,279,0,0,0,0,0,0,0,0,0
2016-08-08,288,0,0,0,0,0,0,0,0,0
2016-08-09,297,0,0,0,0,0,0,0,0,0
2016-08-10,302,0,0,0,0,0,0,0,0,0
2016-08-11,263,0,0,0,0,0,0,0,0,0
2016-08-12,285,0,0,0,0,0,0,0,0,0
2016-08-13,321,0,0,0,0,0,0,0,0,0
2016-08-14,309,0,0,0,0,0,0,0,0,0
2016-08-15,248,0,0,0,0,0,0,0,0,0
2016-08-16,336,0,0,0,0,0,0,0,0,0
2016-08-17,258,0,0,0,0,0,0,0,0,0
2016-08-18,308,0,0,0,0,0,0,0,0,0
2016-08-19,292,0,0,0,0,0,0,0,0,0
2016-08-20,258,0,0,0,0,0,0,0,0,0
2016-08-21,323,0,0,0,0,0,0,0,0,0
2016-08-22,251,0,0,0,0,0,0,0,0,0
2016-08-23,261,0,0,0,0,0,0,0,0,0
2016-08-24,334,0,0,0,0,0,0,0,0,0
2016-08-25,295,0,0,0,0,0,0,0,0,0
2016-08-26,242,0,0,0,0,0,0,0,0,0
2016-08-27,345,0,0,0,0,0,0,0,0,0
2016-08-28,276,0,0,0,0,0,0,0,0,0
2016-08-29,252,0,0,0,0,0,0,0,0,0
2016-08-30,282,0,0,0,0,0,0,0,0,0
2016-08-31,321,0,0,0,0,0,0,0,0,0
2016-09-01,291,0,0,0,0,0,0,0,0,0
2016-09-02,255,0,0,0,0,0,0,0,0,0
2016-09-03,302,0,0,0,0,0,0,0,0,0
2016-09-04,331,0,0,0,0,0,0,0,0,0
2016-09-05,255,0,0,0,0,0,0,0,0,0
2016-09-06,248,0,0,0,0,0,0,0,0,0
2016-09-07,326,0,0,0,0,0,0,0,0,0
2016-09-08,263,0,0,0,0,0,0,0,0,0
2016-09-09,315,0,0,0,0,0,0,0,0,0
2016-09-10,263,0,0,0,0,0,0,0,0,0
2016-09-11,335,0,0,0,0,0,0,0,0,0
2016-09-12,248,0,0,0,0,0,0,0,0,0
2016-09-13,299,0,0,0,0,0,0,0,0,0
2016-09-14,267,0,0,0,0,0,0,0,0,0
2016-09-15,281,0,0,0,0,0,0,0,0,0
2016-09-16,286,0,0,0,0,0,0,0,0,0
2016-09-17,318,0,0,0,0,0,0,0,0,0
2016-09-18,290,0,0,0,0,0,0,0,0,0
2016-09-19,282,0,0,0,0,0,0,0,0,0
2016-09-20,251,0,0,0,0,0,0,0,0,0
2016-09-21,310,0,0,0,0,0,0,0,0,0
2016-09-22,303,0,0,0,0,0,0,0,0,0
2016-09-23,286,0,0,0,0,0,0,0,0,0
2016-09-24,274,0,0,0,0,0,0,0,0,0
2016-09-25,291,0,0,0,0,0,0,0,0,0
2016-09-26,292,0,0,0,0,0,0,0,0,0
2016-09-27,283,0,0,0,0,0,0,0,0,0
2016-09-28,284,0,0,0,0,0,0,0,0,0
2016-09-29,302,0,0,0,0,0,0,0,0,0
2016-09-30,297,0,0,0,0,0,0,0,0,0
2016-10-01,275,0,0,0,0,0,0,0,0,0
2016-10-02,285,0,0,0,0,0,0,0,0,0
2016-10-03,278,0,0,0,0,0,0,0,0,0
2016-10-04,282,0,0,0,0,0,0,0,0,0
2016-10-05,289,0,0,0,0,0,0,0,0,0
2016-10-06,317,0,0,0,0,0,0,0,0,0
2016-10-07,252,0,0,0,0,0,0,0,0,0
2016-10-08,333,0,0,0,0,0,0,0,0,0
2016-10-09,257,0,0,0,0,0,0,0,0,0
2016-10-10,299,0,0,0,0,0,0,0,0,0
2016-10-11,277,0,0,0,0,0,0,0,0,0
2016-10-12,313,0,0,0,0,0,0,0,0,0
2016-10-13,257,0,0,0,0,0,0,0,0,0
2016-10-14,295,0,0,0,0,0,0,0,0,0
2016-10-15,283,0,0,0,0,0,0,0,0,0
2016-10-16,300,0,0,0,0,0,0,0,0,0
2016-10-17,290,0,0,0,0,0,0,0,0,0
2016-10-18,312,0,0,0,0,0,0,0,0,0
2016-10-19,287,0,0,0,0,0,0,0,0,0
2016-10-20,255,0,0,0,0,0,0,0,0,0
2016-10-21,321,0,0,0,0,0,0,0,0,0
2016-10-22,268,0,0,0,0,0,0,0,0,0
2016-10-23,277,0,0,0,0,0,0,0,0,0
2016-10-24,289,0,0,0,0,0,0,0,0,0
2016-10-25,296,0,0,0,0,0,0,0,0,0
2016-10-26,314,0,0,0,0,0,0,0,0,0
2016-10-27,261,0,0,0,0,0,0,0,0,0
2016-10-28,276,0,0,0,0,0,0,0,0,0
2016-10-29,293,0,0,0,0,0,0,0,0,0
2016-10-30,276,0,0,0,0,0,0,0,0,0
2016-10-31,286,0,0,0,0,0,0,0,0,0
2016-11-01,276,0,0,0,0,0,0,0,0,0
2016-11-02,288,0,0,0,0,0,0,0,0,0
2016-11-03,267,0,0,0,0,0,0,0,0,0
2016-11-04,296,0,0,0,0,0,0,0,0,0
2016-11-05,324,0,0,0,0,0,0,0,0,0
2016-11-06,270,0,0,0,0,0,0,0,0,0
2016-11-07,256,0,0,0,0,0,0,0,0,0
2016-11-08,313,0,0,0,0,0,0,0,0,0
2016-11-09,276,0,0,0,0,0,0,0,0,0
2016-11-10,281,0,0,0,0,0,0,0,0,0
2016-11-11,302,0,0,0,0,0,0,0,0,0
2016-11-12,324,0,0,0,0,0,0,0,0,0
2016-11-13,242,0,0,0,0,0,0,0,0,0
2016-11-14,315,0,0,0,0,0,0,0,0,0
2016-11-15,273,0,0,0,0,0,0,0,0,0
2016-11-16,279,0,0,0,0,0,0,0,0,0
2016-11-17,306,0,0,0,0,0,0,0,0,0
2016-11-18,294,0,0,0,0,0,0,0,0,0
2016-11-19,287,0,0,0,0,0,0,0,0,0
2016-11-20,318,0,0,0,0,0,0,0,0,0
2016-11-21,234,0,0,0,0,0,0,0,0,0
2016-11-22,284,0,0,0,0,0,0,0,0,0
2016-11-23,289,8,0,0,0,0,0,0,0,0
2016-11-24,293,3,0,0,0,0,0,0,0,0
2016-11-25,240,16,0,0,0,0,0,0,0,0
2016-11-26,282,13,0,0,0,0,0,0,0,0
2016-11-27,287,13,0,0,0,0,0,0,0,0
2016-11-28,261,10,0,0,0,0,0,0,0,0
2016-11-29,287,13,0,0,0,0,0,0,0,0
2016-11-30,291,15,0,0,0,0,0,0,0,0
2016-12-01,260,8,0,0,0,0,0,0,0,0
2016-12-02,271,12,0,0,0,0,0,0,0,0
2016-12-03,306,10,0,0,0,0,0,0,0,0
2016-12-04,250,17,0,0,0,0,0,0,0,0
2016-12-05,253,9,0,0,0,0,0,0,0,0
2016-12-06,300,12,0,0,0,0,0,0,0,0
2016-12-07,283,10,0,0,0,0,0,0,0,0
2016-12-08,266,11,0,0,0,0,0,0,0,0
2016-12-09,274,15,0,0,0,0,0,0,0,0
2016-12-10,280,11,0,0,0,0,0,0,0,0
2016-12-11,284,15,0,0,0,0,0,0,0,0
2016-12-12,268,18,0,0,0,0,0,0,0,0
2016-12-13,249,16,0,0,0,0,0,0,0,0
2016-12-14,278,17,0,0,0,0,0,0,0,0
2016-12-15,287,13,0,0,0,0,0,0,0,0
2016-12-16,290,12,0,0,0,0,0,0,0,0
2016-12-17,231,7,0,0,0,0,0,0,0,0
2016-12-18,255,31,0,0,0,0,0,0,0,0
2016-12-19,255,55,1,0,0,0,0,0,0,0
2016-12-20,252,48,0,0,0,0,0,0,0,0
2016-12-21,236,44,0,0,0,0,0,0,0,0
2016-12-22,238,34,0,0,0,0,0,0,0,0
2016-12-23,257,33,0,0,0,0,0,0,0,0
2016-12-24,249,42,0,0,0,0,0,0,0,0
2016-12-25,254,24,11,0,0,0,0,0,0,0
2016-12-26,227,29,7,0,0,0,0,0,0,0
2016-12-27,239,32,12,0,0,0,0,0,0,0
2016-12-28,269,27,8,0,0,0,0,0,0,0
2016-12-29,249,26,6,0,0,0,0,0,0,0
2016-12-30,263,36,5,0,0,0,0,0,0,0
2016-12-31,251,27,8,0,0,0,0,0,0,0
2017-01-01,235,37,15,0,0,0,0,0,0,0
2017-01-02,255,19,8,0,0,0,0,0,0,0
2017-01-03,247,29,9,0,0,0,0,0,0,0
2017-01-04,261,40,2,0,0,0,0,0,0,0
2017-01-05,246,31,9,0,0,0,0,0,0,0
2017-01-06,253,27,9,0,0,0,0,0,0,0
2017-01-07,235,27,6,0,0,0,0,0,0,0
2017-01-08,259,27,6,0,0,0,0,0,0,0
2017-01-09,222,39,11,0,0,0,0,0,0,0
2017-01-10,262,37,9,0,0,0,0,0,0,0
2017-01-11,256,38,11,0,0,0,0,0,0,0
2017-01-12,193,36,15,0,0,0,0,0,0,0
2017-01-13,240,36,12,0,0,0,0,0,0,0
2017-01-14,278,34,14,0,0,0,0,0,0,0
2017-01-15,259,24,13,0,0,0,0,0,0,0
2017-01-16,197,21,30,0,0,0,0,0,0,0
2017-01-17,214,36,56,0,0,0,0,0,0,0
2017-01-18,204,30,63,0,0,0,0,0,0,0
2017-01-19,189,27,56,0,0,0,0,0,0,0
2017-01-20,178,25,88,0,0,0,0,0,0,0
2017-01-21,190,34,70,0,0,0,0,0,0,0
2017-01-22,198,18,77,0,0,0,0,0,0,0
2017-01-23,176,31,43,0,0,0,0,0,0,0
2017-01-24,198,43,78,0,0,0,0,0,0,0
2017-01-25,180,31,69,0,0,0,0,0,0,0
2017-01-26,174,36,76,0,0,0,0,0,0,0
2017-01-27,199,43,58,0,0,0,0,0,0,0
2017-01-28,200,32,51,0,0,0,0,0,0,0
2017-01-29,220,29,67,0,0,0,0,0,0,0
2017-01-30,79,31,176,0,0,0,0,0,0,0
2017-01-31,36,41,216,0,0,0,0,0,0,0
2017-02-01,54,41,195,0,0,0,0,0,0,0
2017-02-02,39,61,194,0,0,0,0,0,0,0
2017-02-03,60,75,186,0,0,0,0,0,0,0
2017-02-04,53,48,226,0,0,0,0,0,0,0
2017-02-05,44,59,153,0,0,0,0,0,0,0
2017-02-06,31,55,149,0,0,0,0,0,0,0
2017-02-07,44,38,219,0,0,0,0,0,0,0
2017-02-08,38,23,265,0,0,0,0,0,0,0
2017-02-09,37,15,212,0,0,0,0,0,0,0
2017-02-10,33,19,248,0,0,0,0,0,0,0
2017-02-11,38,18,237,0,0,0,0,0,0,0
2017-02-12,40,10,250,0,0,0,0,0,0,0
2017-02-13,31,11,256,0,0,0,0,0,0,0
2017-02-14,23,18,218,0,0,0,0,0,0,0
2017-02-15,39,20,219,0,0,0,0,0,0,0
2017-02-16,38,20,256,0,0,0,0,0,0,0
2017-02-17,48,13,231,0,0,0,0,0,0,0
2017-02-18,40,11,236,0,0,0,0,0,0,0
2017-02-19,25,17,222,0,0,0,0,0,0,0
2017-02-20,35,11,255,0,0,0,0,0,0,0
2017-02-21,41,22,262,0,0,0,0,0,0,0
2017-02-22,27,13,194,0,0,0,0,0,0,0
2017-02-23,42,16,225,0,0,0,0,0,0,0
2017-02-24,49,24,258,0,0,0,0,0,0,0
2017-02-25,19,15,218,0,0,0,0,0,0,0
2017-02-26,32,14,252,0,0,0,0,0,0,0
2017-02-27,19,16,280,0,0,0,0,0,0,0
2017-02-28,11,33,197,0,0,0,0,0,0,0
2017-03-01,22,38,232,0,0,0,0,0,0,0
2017-03-02,14,33,240,0,0,0,0,0,0,0
2017-03-03,11,30,235,0,0,0,0,0,0,0
2017-03-04,24,34,269,0,0,0,0,0,0,0
2017-03-05,23,37,231,0,0,0,0,0,0,0
2017-03-06,10,20,229,0,0,0,0,0,0,0
2017-03-07,14,62,217,0,0,0,0,0,0,0
2017-03-08,6,52,268,0,0,0,0,0,0,0
2017-03-09,0,44,202,0,0,0,0,0,0,0
2017-03-10,0,32,271,0,0,0,0,0,0,0
2017-03-11,0,0,297,0,0,0,0,0,0,0
2017-03-12,0,0,314,0,0,0,0,0,0,0
2017-03-13,0,0,265,0,0,0,0,0,0,0
2017-03-14,0,0,280,0,0,0,0,0,0,0
2017-03-15,0,0,301,0,0,0,0,0,0,0
2017-03-16,0,0,323,0,0,0,0,0,0,0
2017-03-17,0,0,270,0,0,0,0,0,0,0
2017-03-18,0,0,274,0,0,0,0,0,0,0
2017-03-19,0,0,272,0,0,0,0,0,0,0
2017-03-20,0,0,339,0,0,0,0,0,0,0
2017-03-21,0,0,293,0,0,0,0,0,0,0
2017-03-22,0,0,260,0,0,0,0,0,0,0
2017-03-23,0,0,285,0,0,0,0,0,0,0
2017-03-24,0,0,328,0,0,0,0,0,0,0
2017-03-25,0,0,267,0,0,0,0,0,0,0
2017-03-26,0,0,367,0,0,0,0,0,0,0
2017-03-27,0,0,252,0,0,0,0,0,0,0
2017-03-28,0,0,266,0,0,0,0,0,0,0
2017-03-29,0,0,255,0,0,0,0,0,0,0
2017-03-30,0,0,316,0,0,0,0,0,0,0
2017-03-31,0,0,293,0,0,0,0,0,0,0
2017-04-01,0,0,308,0,0,0,0,0,0,0
2017-04-02,0,0,292,0,0,0,0,0,0,0
2017-04-03,0,0,280,0,0,0,0,0,0,0
2017-04-04,0,0,298,0,0,0,0,0,0,0
2017-04-05,0,0,286,0,0,0,0,0,0,0
2017-04-06,0,0,280,0,0,0,0,0,0,0
2017-04-07,0,0,289,0,0,0,0,0,0,0
2017-04-08,0,0,295,0,0,0,0,0,0,0
2017-04-09,0,0,341,0,0,0,0,0,0,0
2017-04-10,0,0,246,0,0,0,0,0,0,0
2017-04-11,0,0,280,0,0,0,0,0,0,0
2017-04-12,0,0,331,0,0,0,0,0,0,0
2017-04-13,0,0,270,0,0,0,0,0,0,0
2017-04-14,0,0,272,0,0,0,0,0,0,0
2017-04-15,0,0,300,0,0,0,0,0,0,0
2017-04-16,0,0,268,0,0,0,0,0,0,0
2017-04-17,0,0,309,0,0,0,0,0,0,0
2017-04-18,0,0,300,0,0,0,0,0,0,0
2017-04-19,0,0,283,0,0,0,0,0,0,0
2017-04-20,0,0,318,0,0,0,0,0,0,0
2017-04-21,0,0,299,0,0,0,0,0,0,0
2017-04-22,0,0,263,0,0,0,0,0,0,0
2017-04-23,0,0,145,0,0,0,0,0,0,0
2017-04-24,0,0,283,0,0,0,0,0,0,0
2017-04-25,0,0,428,0,0,0,0,0,0,0
2017-04-26,0,0,260,0,0,0,0,0,0,0
2017-04-27,0,0,241,4,0,0,0,0,0,0
2017-04-28,0,0,204,86,0,0,0,0,0,0
2017-04-29,0,0,197,129,0,0,0,0,0,0
2017-04-30,0,0,180,114,0,0,0,0,0,0
2017-05-01,0,0,175,100,0,0,0,0,0,0
2017-05-02,0,0,167,131,0,0,0,0,0,0
2017-05-03,0,0,190,102,0,0,0,0,0,0
2017-05-04,0,0,30,264,0,0,0,0,0,0
2017-05-05,0,0,3,264,0,0,0,0,0,0
2017-05-06,0,0,3,304,0,0,0,0,0,0
2017-05-07,0,0,3,294,0,0,0,0,0,0
2017-05-08,0,0,0,281,0,0,0,0,0,0
2017-05-09,0,0,0,267,0,0,0,0,0,0
2017-05-10,0,0,0,279,0,0,0,0,0,0
2017-05-11,0,0,0,311,0,0,0,0,0,0
2017-05-12,0,0,0,301,0,0,0,0,0,0
2017-05-13,0,0,0,290,0,0,0,0,0,0
2017-05-14,0,0,0,273,0,0,0,0,0,0
2017-05-15,0,0,0,288,0,0,0,0,0,0
2017-05-16,0,0,0,258,0,0,0,0,0,0
2017-05-17,0,0,0,313,0,0,0,0,0,0
2017-05-18,0,0,0,326,0,0,0,0,0,0
2017-05-19,0,0,0,240,0,0,0,0,0,0
2017-05-20,0,0,0,288,0,0,0,0,0,0
2017-05-21,0,0,0,279,0,0,0,0,0,0
2017-05-22,0,0,0,281,0,0,0,0,0,0
2017-05-23,0,0,0,296,0,0,0,0,0,0
2017-05-24,0,0,0,261,0,0,0,0,0,0
2017-05-25,0,0,0,296,0,0,0,0,0,0
2017-05-26,0,0,0,307,0,0,0,0,0,0
2017-05-27,0,0,0,297,0,0,0,0,0,0
